TF	Coefficient
NFATC3	0.00153815
TFAP4	0.0184951
ARID3A	0.00465079
NRF1	0.00316131
SOX9	0.0216268
SOX11	0.0810224
FOXO3	0.00873114
TFCP2	0.0125128
ZEB1	0.00303651
STAT5B	5.11374e-05
RELA	0.000560167
HEYL	0.017436
RARG	0.0326983
NFIB	0.000161376
FOXC2	0.0376988
ARNT2	0.011105
RXRB	0.032665
ALX1	0.309089
TFEB	0.00122747
NFIC	0.000644417
E2F5	0.0013739
USF2	0.0058594
MAFF	1.67134e-05
E2F7	0.000569691
NR2C2	0.022051
TFE3	0.0044217
PBX1	0.00354078
MAX	0.00294533
BARX1	0.00750936
KLF13	0.00358014
OSR2	1.42431e-05
MXI1	0.00297375
TBX3	0.000334486
NR3C1	0.00177081
NFKB1	0.000323781
TEAD1	0.0132002
BHLHE40	0.00289938
NFE2L1	0.00011014
TEAD2	0.0439283
SP2	0.0342746
TP53	0.00236641
SREBF2	0.000222945
E2F6	0.000399068
ATF1	0.000261803
NFATC4	0.00231759
KLF3	0.00463578
SOX15	0.0039248
IRX3	0.00133459
TCF3	0.0861654
BBX	0.000494397
MEF2A	4.60749e-05
FOXP1	0.00056219
ETV1	0.0124294
HIF1A	0.000122631
SMAD2	0.00159116
ZIC2	0.0135573
PPARA	0.00332861
FOXJ2	0.00951921
SOX13	0.0037129
CREB3	0.000293728
ZNF410	0.00289237
MEIS2	0.000736208
ATF3	0.00222355
ZBTB12	0.000111091
ELF2	0.00572194
IRF2	0.000321239
SIX4	0.00442103
ZNF423	0.00013819
NFE2L2	0.00448774
GATA2	0.00423165
ZNF740	0.001104
ZBTB6	1.57678e-05
SP3	0.0124861
RFX1	0.00461557
ELF4	0.00222177
PRRX2	0.198648
SIX1	0.0199653
TWIST1	0.0459653
DLX1	0.0155193
TFAP2A	0.192158
SMAD3	0.00881912
USF1	0.00372707
FOXP4	0.00328864
E2F4	0.00082619
JUN	0.000443815
PLAGL1	2.88823e-05
E4F1	4.31826e-05
MYBL2	0.00603091
BACH2	0.000147966
SOX2	0.0352225
KLF16	0.00687816
YY2	0.00290989
HEY2	0.0111438
MAFK	1.58114e-05
IRF7	3.33234e-05
MAZ	0.00953435
HOXB2	0.0192767
MSX2	0.00998028
KLF11	2.83885e-05
RREB1	8.47737e-05
POU3F1	0.0554085
FOSL1	4.15797e-05
IRX5	0.000711305
GMEB2	5.94104e-05
MYBL1	0.00119982
PKNOX1	0.000712651
IRF1	0.00248508
RFX5	0.00738576
SHOX2	0.0486892
ZNF415	0.000226436
KLF10	5.61519e-06
SP1	0.0184608
PBX2	0.00418369
POU6F2	0.00664532
OSR1	4.46501e-05
ZNF691	0
NR6A1	0
NR2F1	0.106085
TCF7	0.0110417
HIC1	0.000276627
SOX8	0.0238642
ETS2	0.0197451
SOX6	0.00507608
FOXC1	0.0370333
MEIS3	0.00550125
POU3F3	0.144551
FOXO4	0.012403
SOX5	0.00383635
HINFP	0
SOX10	0.00979054
ETV3	0.0038087
MLX	0.000713379
MYB	0.00173946
BCL6	0.000106084
E2F8	8.36489e-06
ATF2	0.000282626
RFX7	0.0111623
CEBPD	0.00159445
PPARD	0.0120873
TGIF1	0.000356802
GLI3	0.000197762
REST	0.00383076
LMX1B	0.0169345
NR2F6	0.0464795
CREB3L4	0.000246284
MEF2B	0.000151816
GMEB1	0
TCF12	0.0634689
HEY1	0.031458
PAX7	0.0314235
IRF3	0.00105489
ETV4	0.0405249
YY1	0.00605904
CTCF	0.0470402
NFIA	0.000279432
POU5F1	0.00499038
ETS1	0.0136658
ID4	0.00567388
AR	0.00718858
FOXP2	0.00291131
GLI2	0.000253811
PBX3	0.00317686
TCF4	0.078934
SP4	0.0103057
ALX4	0.665476
RXRA	0.0345186
ARID3B	0.00670955
NFATC1	0.00221364
ARNT	0.00425778
PRRX1	0.0774882
TEAD3	0.0459395
ID1	0.00787962
FOXK2	0.001137
ZSCAN22	0.000248346
ELK4	0.00279326
PLAG1	0
ESRRA	0.0169948
TCF7L2	0.0122164
ARID5A	3.06337e-05
EGR1	0.0195718
HNF1A	0.00146863
PKNOX2	0.0208321
MYCN	0.167699
NR2F2	0.0546427
E2F2	0.018874
NR1H3	0.00542187
ETV6	0.00147675
CEBPB	0.00171622
SOX4	0.0131296
STAT6	1.80902e-05
MLXIP	0.00340015
STAT1	0.000421743
STAT3	0.000275293
JUNB	0.000249781
TFAP2B	0.377688
ELF1	0.00133694
ERG	0.0644699
ELK3	0.00706702
