TG	Coefficient
LRRFIP1	0.000314277
E2F7	0.00366708
SP2	0.0233037
MYBL2	0.00165369
CCDC124	0.00472844
ZNF33B	0.000251955
MTA2	0.0158225
NAIF1	0.000344445
RIPK2	0.00101137
ERCC3	0.00475876
DNMT1	0.0119755
ZBTB44	1.75903e-05
JRKL	3.71862e-05
MBD6	0.00262581
ZBTB16	0.0884984
ZNF598	0.000962019
TAB1	0.00959753
ZSCAN16	0.00310908
ZEB2	0.000321864
MSANTD3	0.00262895
ZNF608	0.00250388
POLE4	9.27309e-05
RNF138	0.00122139
CUL4B	0.00112436
ZNF551	1.13603e-05
ZFPL1	0.000291801
ZNF672	0.0064576
HNRNPK	0.00809499
ZNF211	0.00919187
TP53BP1	0.00410146
ZNF574	0.000240103
IRX2	0.0157956
ZFP36L2	0.00818199
SUB1	0.00270342
ZBTB12	0.0731853
ZNF428	0.0361964
PHB	0.0132443
HNRNPD	0.0071563
ZSCAN2	0.00893639
SUPT4H1	0.00882847
PRDM16	0.000226064
ZFHX4	0.0277022
ZNF131	0.0003508
THRA	0.00176865
NR1H2	0.00732294
PGS1	0.000550906
CUL4A	0.00046459
ZNF512B	0.00542923
BRMS1	0.000611125
DVL3	0.0145899
SON	0.000936511
MAX	0.00353107
EP400	0.000837099
DMTF1	0.00124181
OGG1	0.00444789
ZNF688	0.00686037
SUPT16H	0.00723389
HDAC6	0.000727632
SALL2	0.0184903
REL	0.00065418
ZNF713	0.00157121
IKZF5	0.00178885
SSBP4	0.00358762
APEX1	0.00435059
CDC5L	0.00322074
MNAT1	0.0019968
RCOR2	0.144352
PBX1	0.00717007
TCF19	0.00246924
TAF12	0.00210226
RNF14	7.4911e-05
SOX13	0.00381237
ZFP90	0.0002508
KAT8	0.00134356
POLG	0.0024456
MED24	8.15805e-06
CIR1	9.17809e-05
TCEAL7	0.0118705
CGGBP1	0.00391092
ZNF75D	0.00180764
KDM2A	0.000885466
ZFP30	0.00069443
MN1	0.00914556
TRAF4	0.00250775
PRKCQ	0.00136384
CIZ1	0.0149375
NR3C1	0.00113095
RB1	6.57879e-05
ZNF300	0.00138748
PLAG1	0.00434271
ZNF789	0.0167142
JUNB	0.000608089
ZBTB22	0.0032621
BNC1	0.00974095
SATB1	0.00475289
SART1	0.000885033
UBA52	0.015443
ZNF616	0.00103172
CREB3L1	0.00877923
BRPF1	0.00660007
TRIM52	0.00739725
GLA	0.000747587
CSRNP1	6.42887e-05
GMEB2	0.00195592
ZNF341	0.000104165
ZNF738	0.00533766
CERS2	0.00955675
EWSR1	0.000326008
GLI2	0.11498
RXRA	0.00317617
PIM1	0.00363845
SOX4	0.0751113
ZIC1	0.0287816
ZNF550	0.0100671
ZNF75A	0.00208638
NFYB	0.00150646
RECQL	0.0013041
LIN28B	0.0304242
TET1	0.00825548
GTF3C2	0.000274523
PURG	0.00222778
